+---------------+-----------------+------------------+
| timestamp     | double_latitude | double_longitude |
| 1517627291511 | 47.501766022453 | -122.24722641473 |
| 1517627891447 | 47.501766022453 | -122.24722641473 |
| 1517628491539 | 47.501766022453 | -122.24722641473 |
| 1517629091491 | 47.501766022453 | -122.24722641473 |
| 1517629691461 | 47.501766022453 | -122.24722641473 |
| 1517630291454 | 47.501766022453 | -122.24722641473 |
| 1517630291454 | 47.501766022453 | -122.24722641473 |
| 1517630891508 | 47.501766022453 | -122.24722641473 |
| 1517631154341 | 47.500877059109 | -122.24768810917 |
| 1517631200683 | 47.501773545563 |  -122.2474358977 |
| 1517631200683 | 47.501773545563 |  -122.2474358977 |
| 1517631491476 | 47.501773545563 |  -122.2474358977 |
| 1517656524790 |     47.50429723 |    -122.25328867 |
| 1517656525555 | 47.501572793715 | -122.24691305236 |
